code_insee,code_postal,nom_commune,nom_ville,nom_departement,nom_region
01001,01400,L'Abergement-Clémenciat,L'Abergement-Clémenciat,Ain,Auvergne-Rhône-Alpes
01002,01640,L'Abergement-de-Varey,L'Abergement-de-Varey,Ain,Auvergne-Rhône-Alpes
01004,01500,Ambérieu-en-Bugey,Ambérieu-en-Bugey,Ain,Auvergne-Rhône-Alpes
01005,01330,Ambérieux-en-Dombes,Ambérieux-en-Dombes,Ain,Auvergne-Rhône-Alpes
01006,01300,Ambléon,Ambléon,Ain,Auvergne-Rhône-Alpes
01007,01500,Ambronay,Ambronay,Ain,Auvergne-Rhône-Alpes
01008,01500,Ambutrix,Ambutrix,Ain,Auvergne-Rhône-Alpes
01009,01300,Andert-et-Condon,Andert-et-Condon,Ain,Auvergne-Rhône-Alpes
01010,01350,Anglefort,Anglefort,Ain,Auvergne-Rhône-Alpes
01011,01100,Apremont,Apremont,Ain,Auvergne-Rhône-Alpes
01012,01110,Aranc,Aranc,Ain,Auvergne-Rhône-Alpes
01013,01230,Arandas,Arandas,Ain,Auvergne-Rhône-Alpes
01014,01100,Arbent,Arbent,Ain,Auvergne-Rhône-Alpes
01015,01300,Arboys en Bugey,Arboys en Bugey,Ain,Auvergne-Rhône-Alpes
01016,01190,Arbigny,Arbigny,Ain,Auvergne-Rhône-Alpes
01017,01230,Argis,Argis,Ain,Auvergne-Rhône-Alpes
01019,01510,Armix,Armix,Ain,Auvergne-Rhône-Alpes
01021,01480,Ars-sur-Formans,Ars-sur-Formans,Ain,Auvergne-Rhône-Alpes
01022,01510,Artemare,Artemare,Ain,Auvergne-Rhône-Alpes
01023,01570,Asnières-sur-Saône,Asnières-sur-Saône,Ain,Auvergne-Rhône-Alpes
01024,01340,Attignat,Attignat,Ain,Auvergne-Rhône-Alpes
01025,01380,Bâgé-Dommartin,Bâgé-Dommartin,Ain,Auvergne-Rhône-Alpes
01026,01380,Bâgé-le-Châtel,Bâgé-le-Châtel,Ain,Auvergne-Rhône-Alpes
01027,01360,Balan,Balan,Ain,Auvergne-Rhône-Alpes
01028,01990,Baneins,Baneins,Ain,Auvergne-Rhône-Alpes
01029,01270,Beaupont,Beaupont,Ain,Auvergne-Rhône-Alpes
01030,01480,Beauregard,Beauregard,Ain,Auvergne-Rhône-Alpes
01031,01100,Bellignat,Bellignat,Ain,Auvergne-Rhône-Alpes
01032,01360,Béligneux,Béligneux,Ain,Auvergne-Rhône-Alpes
01033,01200,Valserhône,Valserhône,Ain,Auvergne-Rhône-Alpes
01034,01300,Belley,Belley,Ain,Auvergne-Rhône-Alpes
01035,01130,Belleydoux,Belleydoux,Ain,Auvergne-Rhône-Alpes
01036,01260,Valromey-sur-Séran,Valromey-sur-Séran,Ain,Auvergne-Rhône-Alpes
01037,01470,Bénonces,Bénonces,Ain,Auvergne-Rhône-Alpes
01038,01370,Bény,Bény,Ain,Auvergne-Rhône-Alpes
01040,01340,Béréziat,Béréziat,Ain,Auvergne-Rhône-Alpes
01041,01500,Bettant,Bettant,Ain,Auvergne-Rhône-Alpes
01042,01290,Bey,Bey,Ain,Auvergne-Rhône-Alpes
01043,01700,Beynost,Beynost,Ain,Auvergne-Rhône-Alpes
01044,01200,Billiat,Billiat,Ain,Auvergne-Rhône-Alpes
01045,01330,Birieux,Birieux,Ain,Auvergne-Rhône-Alpes
01046,01290,Biziat,Biziat,Ain,Auvergne-Rhône-Alpes
01047,01150,Blyes,Blyes,Ain,Auvergne-Rhône-Alpes
01049,01120,La Boisse,La Boisse,Ain,Auvergne-Rhône-Alpes
01050,01380,Boissey,Boissey,Ain,Auvergne-Rhône-Alpes
01050,01190,Boissey,Boissey,Ain,Auvergne-Rhône-Alpes
01051,01450,Bolozon,Bolozon,Ain,Auvergne-Rhône-Alpes
01052,01330,Bouligneux,Bouligneux,Ain,Auvergne-Rhône-Alpes
01053,01000,Bourg-en-Bresse,Bourg-en-Bresse,Ain,Auvergne-Rhône-Alpes
01054,01800,Bourg-Saint-Christophe,Bourg-Saint-Christophe,Ain,Auvergne-Rhône-Alpes
01056,01640,Boyeux-Saint-Jérôme,Boyeux-Saint-Jérôme,Ain,Auvergne-Rhône-Alpes
01057,01190,Boz,Boz,Ain,Auvergne-Rhône-Alpes
01058,01300,Brégnier-Cordon,Brégnier-Cordon,Ain,Auvergne-Rhône-Alpes
01060,01110,Brénod,Brénod,Ain,Auvergne-Rhône-Alpes
01061,01300,Brens,Brens,Ain,Auvergne-Rhône-Alpes
01062,01360,Bressolles,Bressolles,Ain,Auvergne-Rhône-Alpes
01063,01460,Brion,Brion,Ain,Auvergne-Rhône-Alpes
01064,01470,Briord,Briord,Ain,Auvergne-Rhône-Alpes
01065,01310,Buellas,Buellas,Ain,Auvergne-Rhône-Alpes
01066,01510,La Burbanche,La Burbanche,Ain,Auvergne-Rhône-Alpes
01067,01430,Ceignes,Ceignes,Ain,Auvergne-Rhône-Alpes
01068,01450,Cerdon,Cerdon,Ain,Auvergne-Rhône-Alpes
01069,01240,Certines,Certines,Ain,Auvergne-Rhône-Alpes
01071,01170,Cessy,Cessy,Ain,Auvergne-Rhône-Alpes
01072,01250,Ceyzériat,Ceyzériat,Ain,Auvergne-Rhône-Alpes
01073,01350,Ceyzérieu,Ceyzérieu,Ain,Auvergne-Rhône-Alpes
01074,01320,Chalamont,Chalamont,Ain,Auvergne-Rhône-Alpes
01075,01480,Chaleins,Chaleins,Ain,Auvergne-Rhône-Alpes
01076,01230,Chaley,Chaley,Ain,Auvergne-Rhône-Alpes
01077,01450,Challes-la-Montagne,Challes-la-Montagne,Ain,Auvergne-Rhône-Alpes
01078,01630,Challex,Challex,Ain,Auvergne-Rhône-Alpes
01079,01260,Champagne-en-Valromey,Champagne-en-Valromey,Ain,Auvergne-Rhône-Alpes
01080,01110,Champdor-Corcelles,Champdor-Corcelles,Ain,Auvergne-Rhône-Alpes
01081,01410,Champfromier,Champfromier,Ain,Auvergne-Rhône-Alpes
01082,01420,Chanay,Chanay,Ain,Auvergne-Rhône-Alpes
01083,01990,Chaneins,Chaneins,Ain,Auvergne-Rhône-Alpes
01084,01400,Chanoz-Châtenay,Chanoz-Châtenay,Ain,Auvergne-Rhône-Alpes
01085,01240,La Chapelle-du-Châtelard,La Chapelle-du-Châtelard,Ain,Auvergne-Rhône-Alpes
01087,01130,Charix,Charix,Ain,Auvergne-Rhône-Alpes
01088,01800,Charnoz-sur-Ain,Charnoz-sur-Ain,Ain,Auvergne-Rhône-Alpes
01089,01500,Château-Gaillard,Château-Gaillard,Ain,Auvergne-Rhône-Alpes
01090,01320,Châtenay,Châtenay,Ain,Auvergne-Rhône-Alpes
01092,01320,Châtillon-la-Palud,Châtillon-la-Palud,Ain,Auvergne-Rhône-Alpes
01093,01400,Châtillon-sur-Chalaronne,Châtillon-sur-Chalaronne,Ain,Auvergne-Rhône-Alpes
01094,01190,Chavannes-sur-Reyssouze,Chavannes-sur-Reyssouze,Ain,Auvergne-Rhône-Alpes
01095,01250,Nivigne et Suran,Nivigne et Suran,Ain,Auvergne-Rhône-Alpes
01096,01660,Chaveyriat,Chaveyriat,Ain,Auvergne-Rhône-Alpes
01098,01510,Chazey-Bons,Chazey-Bons,Ain,Auvergne-Rhône-Alpes
01098,01300,Chazey-Bons,Chazey-Bons,Ain,Auvergne-Rhône-Alpes
01099,01150,Chazey-sur-Ain,Chazey-sur-Ain,Ain,Auvergne-Rhône-Alpes
01100,01510,Cheignieu-la-Balme,Cheignieu-la-Balme,Ain,Auvergne-Rhône-Alpes
01101,01430,Chevillard,Chevillard,Ain,Auvergne-Rhône-Alpes
01102,01190,Chevroux,Chevroux,Ain,Auvergne-Rhône-Alpes
01103,01170,Chevry,Chevry,Ain,Auvergne-Rhône-Alpes
01104,01410,Chézery-Forens,Chézery-Forens,Ain,Auvergne-Rhône-Alpes
