code_commune,nom_commune,nom_ville,nom_departement,nom_region
01001,L'Abergement-Clémenciat,L'Abergement-Clémenciat,Ain,Auvergne-Rhône-Alpes
01002,L'Abergement-de-Varey,L'Abergement-de-Varey,Ain,Auvergne-Rhône-Alpes
01004,Ambérieu-en-Bugey,Ambérieu-en-Bugey,Ain,Auvergne-Rhône-Alpes
01005,Ambérieux-en-Dombes,Ambérieux-en-Dombes,Ain,Auvergne-Rhône-Alpes
01006,Ambléon,Ambléon,Ain,Auvergne-Rhône-Alpes
01007,Ambronay,Ambronay,Ain,Auvergne-Rhône-Alpes
01008,Ambutrix,Ambutrix,Ain,Auvergne-Rhône-Alpes
01009,Andert-et-Condon,Andert-et-Condon,Ain,Auvergne-Rhône-Alpes
01010,Anglefort,Anglefort,Ain,Auvergne-Rhône-Alpes
01011,Apremont,Apremont,Ain,Auvergne-Rhône-Alpes
01012,Aranc,Aranc,Ain,Auvergne-Rhône-Alpes
01013,Arandas,Arandas,Ain,Auvergne-Rhône-Alpes
01014,Arbent,Arbent,Ain,Auvergne-Rhône-Alpes
01015,Arboys en Bugey,Arboys en Bugey,Ain,Auvergne-Rhône-Alpes
01016,Arbigny,Arbigny,Ain,Auvergne-Rhône-Alpes
01017,Argis,Argis,Ain,Auvergne-Rhône-Alpes
01019,Armix,Armix,Ain,Auvergne-Rhône-Alpes
01021,Ars-sur-Formans,Ars-sur-Formans,Ain,Auvergne-Rhône-Alpes
01022,Artemare,Artemare,Ain,Auvergne-Rhône-Alpes
01023,Asnières-sur-Saône,Asnières-sur-Saône,Ain,Auvergne-Rhône-Alpes
01024,Attignat,Attignat,Ain,Auvergne-Rhône-Alpes
01025,Bâgé-Dommartin,Bâgé-Dommartin,Ain,Auvergne-Rhône-Alpes
01026,Bâgé-le-Châtel,Bâgé-le-Châtel,Ain,Auvergne-Rhône-Alpes
01027,Balan,Balan,Ain,Auvergne-Rhône-Alpes
01028,Baneins,Baneins,Ain,Auvergne-Rhône-Alpes
01029,Beaupont,Beaupont,Ain,Auvergne-Rhône-Alpes
01030,Beauregard,Beauregard,Ain,Auvergne-Rhône-Alpes
01031,Bellignat,Bellignat,Ain,Auvergne-Rhône-Alpes
01032,Béligneux,Béligneux,Ain,Auvergne-Rhône-Alpes
01033,Valserhône,Valserhône,Ain,Auvergne-Rhône-Alpes
01034,Belley,Belley,Ain,Auvergne-Rhône-Alpes
01035,Belleydoux,Belleydoux,Ain,Auvergne-Rhône-Alpes
01036,Valromey-sur-Séran,Valromey-sur-Séran,Ain,Auvergne-Rhône-Alpes
01037,Bénonces,Bénonces,Ain,Auvergne-Rhône-Alpes
01038,Bény,Bény,Ain,Auvergne-Rhône-Alpes
01040,Béréziat,Béréziat,Ain,Auvergne-Rhône-Alpes
01041,Bettant,Bettant,Ain,Auvergne-Rhône-Alpes
01042,Bey,Bey,Ain,Auvergne-Rhône-Alpes
01043,Beynost,Beynost,Ain,Auvergne-Rhône-Alpes
01044,Billiat,Billiat,Ain,Auvergne-Rhône-Alpes
01045,Birieux,Birieux,Ain,Auvergne-Rhône-Alpes
01046,Biziat,Biziat,Ain,Auvergne-Rhône-Alpes
01047,Blyes,Blyes,Ain,Auvergne-Rhône-Alpes
01049,La Boisse,La Boisse,Ain,Auvergne-Rhône-Alpes
01050,Boissey,Boissey,Ain,Auvergne-Rhône-Alpes
01051,Bolozon,Bolozon,Ain,Auvergne-Rhône-Alpes
01052,Bouligneux,Bouligneux,Ain,Auvergne-Rhône-Alpes
01053,Bourg-en-Bresse,Bourg-en-Bresse,Ain,Auvergne-Rhône-Alpes
01054,Bourg-Saint-Christophe,Bourg-Saint-Christophe,Ain,Auvergne-Rhône-Alpes
01056,Boyeux-Saint-Jérôme,Boyeux-Saint-Jérôme,Ain,Auvergne-Rhône-Alpes
01057,Boz,Boz,Ain,Auvergne-Rhône-Alpes
01058,Brégnier-Cordon,Brégnier-Cordon,Ain,Auvergne-Rhône-Alpes
01060,Brénod,Brénod,Ain,Auvergne-Rhône-Alpes
01061,Brens,Brens,Ain,Auvergne-Rhône-Alpes
01062,Bressolles,Bressolles,Ain,Auvergne-Rhône-Alpes
01063,Brion,Brion,Ain,Auvergne-Rhône-Alpes
01064,Briord,Briord,Ain,Auvergne-Rhône-Alpes
01065,Buellas,Buellas,Ain,Auvergne-Rhône-Alpes
01066,La Burbanche,La Burbanche,Ain,Auvergne-Rhône-Alpes
01067,Ceignes,Ceignes,Ain,Auvergne-Rhône-Alpes
01068,Cerdon,Cerdon,Ain,Auvergne-Rhône-Alpes
01069,Certines,Certines,Ain,Auvergne-Rhône-Alpes
01071,Cessy,Cessy,Ain,Auvergne-Rhône-Alpes
01072,Ceyzériat,Ceyzériat,Ain,Auvergne-Rhône-Alpes
